Date,Close
17/08/2017,4285.08
18/08/2017,4108.37
19/08/2017,4139.98
20/08/2017,4086.29
21/08/2017,4016
22/08/2017,4040
23/08/2017,4114.01
24/08/2017,4316.01
25/08/2017,4280.68
26/08/2017,4337.44
27/08/2017,4310.01
28/08/2017,4386.69
29/08/2017,4587.48
30/08/2017,4555.14
31/08/2017,4724.89
01/09/2017,4834.91
02/09/2017,4472.14
03/09/2017,4509.08
04/09/2017,4100.11
05/09/2017,4366.47
06/09/2017,4619.77
07/09/2017,4691.61
08/09/2017,4282.8
09/09/2017,4258.81
10/09/2017,4130.37
11/09/2017,4208.47
12/09/2017,4163.72
13/09/2017,3944.69
14/09/2017,3189.02
15/09/2017,3700
16/09/2017,3714.95
17/09/2017,3699.99
18/09/2017,4035.01
19/09/2017,3910.04
20/09/2017,3900
21/09/2017,3609.99
22/09/2017,3595.87
23/09/2017,3780
24/09/2017,3660.02
25/09/2017,3920.75
26/09/2017,3882.35
27/09/2017,4193
28/09/2017,4174.5
29/09/2017,4174.69
30/09/2017,4378.51
01/10/2017,4378.48
02/10/2017,4380
03/10/2017,4310
04/10/2017,4208.59
05/10/2017,4292.43
06/10/2017,4369
07/10/2017,4423
08/10/2017,4640
09/10/2017,4786.95
10/10/2017,4783.06
11/10/2017,4821.43
12/10/2017,5430
13/10/2017,5649.98
14/10/2017,5869.99
15/10/2017,5709.99
16/10/2017,5760.02
17/10/2017,5595
18/10/2017,5512.06
19/10/2017,5683.9
20/10/2017,6010.01
21/10/2017,6024.97
22/10/2017,5950.02
23/10/2017,5915.93
24/10/2017,5477.03
25/10/2017,5689.99
26/10/2017,5861.77
27/10/2017,5768.83
28/10/2017,5719.64
29/10/2017,6169.98
30/10/2017,6120.5
31/10/2017,6463
01/11/2017,6753.98
02/11/2017,7019.98
03/11/2017,7115.04
04/11/2017,7357.09
05/11/2017,7345.01
06/11/2017,6960.12
07/11/2017,7064.04
08/11/2017,7303
09/11/2017,7079.99
10/11/2017,6506.98
11/11/2017,6245.05
12/11/2017,5811.03
13/11/2017,6465.99
14/11/2017,6574.99
15/11/2017,7240.06
16/11/2017,7864.5
17/11/2017,7699.19
18/11/2017,7761.94
19/11/2017,8038
20/11/2017,8212
21/11/2017,8119.51
22/11/2017,8205.92
23/11/2017,8019.99
24/11/2017,8138
25/11/2017,8700.01
26/11/2017,9128.02
27/11/2017,9650
28/11/2017,9896.8
29/11/2017,9687.88
30/11/2017,9838.96
01/12/2017,10782.99
02/12/2017,10890.01
03/12/2017,11165.41
04/12/2017,11579
05/12/2017,11699.99
06/12/2017,13550.05
07/12/2017,16599
08/12/2017,15880
09/12/2017,14656.07
10/12/2017,14899.98
11/12/2017,16587.97
12/12/2017,16349.99
13/12/2017,16033.29
14/12/2017,16334.98
15/12/2017,17539.83
16/12/2017,19102.66
17/12/2017,18860.02
18/12/2017,18856.25
19/12/2017,17295.2
20/12/2017,16488.98
21/12/2017,15492.64
22/12/2017,13326.61
23/12/2017,13300
24/12/2017,13500
25/12/2017,13699.34
26/12/2017,15689.01
27/12/2017,15459.99
28/12/2017,14182.11
29/12/2017,14378.9
30/12/2017,12440.01
31/12/2017,13716.36
01/01/2018,13380
02/01/2018,14675.11
03/01/2018,14919.51
04/01/2018,15059.54
05/01/2018,16960.39
06/01/2018,17069.79
07/01/2018,16150.03
08/01/2018,14902.54
09/01/2018,14400
10/01/2018,14907.09
11/01/2018,13238.78
12/01/2018,13740.01
13/01/2018,14210
14/01/2018,13474.99
15/01/2018,13539.93
16/01/2018,10900
17/01/2018,10988.79
18/01/2018,10961.97
19/01/2018,11474.98
20/01/2018,12799.94
21/01/2018,11530
22/01/2018,10760.05
23/01/2018,10799.18
24/01/2018,11349.99
25/01/2018,11175.27
26/01/2018,11089
27/01/2018,11491
28/01/2018,11879.95
29/01/2018,11251
30/01/2018,10237.51
31/01/2018,10285.1
01/02/2018,9224.52
02/02/2018,8873.03
03/02/2018,9199.96
04/02/2018,8184.81
05/02/2018,6939.99
06/02/2018,7652.14
07/02/2018,7599
08/02/2018,7784.02
09/02/2018,8683.92
10/02/2018,8533.98
11/02/2018,8063.88
12/02/2018,8903
13/02/2018,8539.9
14/02/2018,9449.99
15/02/2018,10000.09
16/02/2018,10159.98
17/02/2018,11039.55
18/02/2018,10383.43
19/02/2018,11153
20/02/2018,11200.99
21/02/2018,10437.6
22/02/2018,9811.04
23/02/2018,10131.04
24/02/2018,9694.51
25/02/2018,9590
26/02/2018,10324
27/02/2018,10569.04
28/02/2018,10326.76
01/03/2018,10920
02/03/2018,11039
03/03/2018,11464.48
04/03/2018,11515
05/03/2018,11454
06/03/2018,10716.48
07/03/2018,9910
08/03/2018,9271.64
09/03/2018,9227
10/03/2018,8770.22
11/03/2018,9533.57
12/03/2018,9131.34
13/03/2018,9150
14/03/2018,8170
15/03/2018,8240.98
16/03/2018,8260
17/03/2018,7824.8
18/03/2018,8189.99
19/03/2018,8600
20/03/2018,8909.98
21/03/2018,8885
22/03/2018,8722.9
23/03/2018,8898.03
24/03/2018,8546.86
25/03/2018,8470.15
26/03/2018,8134.23
27/03/2018,7795.51
28/03/2018,7949.3
29/03/2018,7090.14
30/03/2018,6840.23
31/03/2018,6923.91
01/04/2018,6813.01
02/04/2018,7056
03/04/2018,7405.21
04/04/2018,6796.1
05/04/2018,6770.76
06/04/2018,6601.39
07/04/2018,6895.8
08/04/2018,7018
09/04/2018,6782.72
10/04/2018,6843.9
11/04/2018,6953.79
12/04/2018,7923
13/04/2018,7877.41
14/04/2018,7999.01
15/04/2018,8355
16/04/2018,8064.92
17/04/2018,7885.02
18/04/2018,8173
19/04/2018,8278
20/04/2018,8856.98
21/04/2018,8915.31
22/04/2018,8787.02
23/04/2018,8934.01
24/04/2018,9619.99
25/04/2018,8869.99
26/04/2018,9266
27/04/2018,8915.35
28/04/2018,9348
29/04/2018,9419
30/04/2018,9246.01
01/05/2018,9071.48
02/05/2018,9247.84
03/05/2018,9750
04/05/2018,9713.99
05/05/2018,9864
06/05/2018,9659.01
07/05/2018,9365
08/05/2018,9187.56
09/05/2018,9310
10/05/2018,9002.2
11/05/2018,8400
12/05/2018,8465.94
13/05/2018,8679.71
14/05/2018,8663.34
15/05/2018,8462
16/05/2018,8330
17/05/2018,8041.46
18/05/2018,8239.81
19/05/2018,8233.49
20/05/2018,8526.98
21/05/2018,8381.24
22/05/2018,7977.11
23/05/2018,7501.95
24/05/2018,7575.01
25/05/2018,7457
26/05/2018,7333.96
27/05/2018,7338.99
28/05/2018,7099
29/05/2018,7461.29
30/05/2018,7375.96
31/05/2018,7485.01
01/06/2018,7521.01
02/06/2018,7640.03
03/06/2018,7714.26
04/06/2018,7487
05/06/2018,7625
06/06/2018,7658.84
07/06/2018,7691.08
08/06/2018,7603.44
09/06/2018,7491.73
10/06/2018,6764.99
11/06/2018,6872
12/06/2018,6530
13/06/2018,6292.78
14/06/2018,6635.98
15/06/2018,6388.9
16/06/2018,6483.98
17/06/2018,6449.61
18/06/2018,6712.46
19/06/2018,6741.21
20/06/2018,6761.51
21/06/2018,6718.84
22/06/2018,6045
23/06/2018,6149.98
24/06/2018,6136.97
25/06/2018,6252
26/06/2018,6070.78
27/06/2018,6133.73
28/06/2018,5853.98
29/06/2018,6197.92
30/06/2018,6390.07
01/07/2018,6356.81
02/07/2018,6615.29
03/07/2018,6513.86
04/07/2018,6586.98
05/07/2018,6529.2
06/07/2018,6609.78
07/07/2018,6756.98
08/07/2018,6712.1
09/07/2018,6662.12
10/07/2018,6296.91
11/07/2018,6378.07
12/07/2018,6250.57
13/07/2018,6214.57
14/07/2018,6251.99
15/07/2018,6353.01
16/07/2018,6723.35
17/07/2018,7317.44
18/07/2018,7381.9
19/07/2018,7466.21
20/07/2018,7337.53
21/07/2018,7398.78
22/07/2018,7394.79
